penalty,support,status,norm,prime,valuation,gcd_degree
3,1:1;1:2;1:3,obstructed,25209297475147040259460077758576135402879,674957,1,1
3,1:1;1:2;1:4,survivor,24871830285789765731739386008105360764031,,,
3,1:1;1:2;1:5,obstructed,24517328535537089285455152932631070575521,1607,1,1
3,1:1;1:2;1:6,survivor,24557046203857080338045895889766194878377,,,
3,1:1;1:2;1:7,obstructed,24575976874634466868708813420993988734369,8032361,1,1
3,1:1;1:2;1:8,obstructed,24572503114846334141586604157626775594297,401,1,1
3,1:1;1:2;1:9,obstructed,24571560125632209996581456344778726069201,193763,1,1
3,1:1;1:2;1:10,survivor,24571823919852165439506577428625446573041,,,
3,1:1;1:2;1:11,obstructed,24571869074320260447027412834230373108097,1741,1,1
3,1:1;1:2;1:12,obstructed,24571848366766126268469872520299359939979,937,1,1
3,1:1;1:2;1:13,survivor,24571775675109738792002507222656119901279,,,
3,1:1;1:2;1:14,obstructed,24571868813217134841905022449115524725243,373900199,1,1
3,1:1;1:2;1:15,survivor,24571840259406721498003262117683764512761,,,
3,1:1;1:2;1:16,survivor,24571538094976453862826502166180002917323,,,
3,1:1;1:2;1:17,survivor,24572824172981100354403449473529715069489,,,
3,1:1;1:2;1:18,obstructed,24571900427857797856931223127487260293727,2339773,1,1
3,1:1;1:2;1:19,survivor,24571847344741092491922450888518844662669,,,
3,1:1;1:2;1:20,survivor,24571915287220464049289490947861115015197,,,
3,1:1;1:2;1:21,survivor,24573800997424453412914170597041397496253,,,
3,1:1;1:2;1:22,obstructed,24554876413293505034125625881888206154487,401,1,1
3,1:1;1:2;1:23,obstructed,24552369713557105839899918676733470401407,303643,1,1
3,1:1;1:2;1:24,obstructed,24571236725740794121226464026389026027229,149428506994669813,1,1
3,1:1;1:2;1:25,survivor,24571855408068981453998836016485334269211,,,
3,1:1;1:2;1:26,obstructed,24571857440233174546814532685509787660747,4421,1,1
3,1:1;1:2;1:27,survivor,24571790731379705611183195627352541701833,,,
3,1:1;1:2;1:28,obstructed,24571842427552419733445743090400494815749,2143,1,1
