positive_lag,abs_norm,prime_factorization
4,31808488451986029902083251959892134597497,401736289^1;79177533429114813927310539675673^1
6,31806877990273982381458514676448979752879,269^1;118241182119977629670849496938472043691^1
7,31806872452870098314534012708788350595223,4437911217889^1;7167081739864054303318630007^1
9,31806872098496144045291045213431290446093,218287^1;135850807^1;78163450489^1;13722307426781693^1
11,31806866199776075790532831727715744705101,269^1;118241138289130393273356251775894961729^1
12,31806872092288033408283114856372205334827,3083^1;1962967^1;5255746854716452457627923504007^1
14,31806874472453585153864898825894710576509,73814033^1;90922420619^1;4739265846270995321767^1
17,31805255808887123125856348862655265978191,269^1;927095495722939^1;127532872558831276183601^1
18,31806871812338588763815982048490054952801,20982116389679340383^1;1515903887940671075647^1
19,31806872452853181093535605290663953112549,30553^1;1041039258104054629448355490153633133^1
21,31806900478600488389446200130948797956113,183581^1;173258128447935725317141752855408773^1
23,31810065304701917529180126072671903141039,223862104470606601^1;142096695552500813723639^1
27,31806969543050401713473271424622906357869,9701333^1;3278618468518749094941207710798393^1
28,31806872098318114962963558284796429704387,31650533^1;19358785163^1;51911291556464208571253^1
29,31806872177776079209147176578969397139721,106397^1;298945197494065426742738766872838493^1
30,31806872012263184002264030472379778779251,1877^1;13044476024258621^1;1299062510899706433203^1
31,31806854896213121365583994489006030403217,31806854896213121365583994489006030403217^1
33,31360459545052436256962553581119414154891,94448023^1;703596211^1;212438134541^1;2221434821467^1
